Date: 2018-5-30T0:55:41  "POST http://ocsp.pki.goog/GTSGIAG3 HTTP/1.1" 405 0 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 45049 Bytes
Date: 2018-5-30T0:56:31  "POST http://ocsp.comodoca.com/ HTTP/1.1" 405 0 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 187 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 2685 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 15998 Bytes
Date: 2018-5-30T0:56:31  "POST http://ocsp.comodoca.com/ HTTP/1.1" 405 0 Bytes
Date: 2018-5-30T0:56:31  "POST http://ocsp.comodoca.com/ HTTP/1.1" 405 0 Bytes
Date: 2018-5-30T0:56:31  "POST http://ocsp.comodoca.com/ HTTP/1.1" 405 0 Bytes
Date: 2018-5-30T0:56:31 48.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 6779 Bytes
Date: 2018-5-30T0:56:31 112.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1456 Bytes
Date: 2018-5-30T0:56:31 32.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 36492 Bytes
Date: 2018-5-30T0:56:31 48.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 19368 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 6989 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1238 Bytes
Date: 2018-5-30T0:56:31 48.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 12185 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 6857 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 14678 Bytes
Date: 2018-5-30T0:56:31 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 7972 Bytes
Date: 2018-5-30T0:56:31 112.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 5000 Bytes
Date: 2018-5-30T0:56:31 48.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 28631 Bytes
Date: 2018-5-30T0:56:31 48.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 2975 Bytes
Date: 2018-5-30T0:56:32 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 3247 Bytes
Date: 2018-5-30T0:56:32 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 18044 Bytes
Date: 2018-5-30T0:56:32 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 34960 Bytes
Date: 2018-5-30T0:56:32 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 4382 Bytes
Date: 2018-5-30T0:56:36  "POST http://ocsp.pki.goog/GTSGIAG3 HTTP/1.1" 405 0 Bytes
Date: 2018-5-30T0:56:42 96.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 2030 Bytes
Date: 2018-5-30T0:56:42 48.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 9107 Bytes
Date: 2018-5-30T0:56:42 48.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 18365 Bytes
Date: 2018-5-30T0:56:42 48.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1991 Bytes
Date: 2018-5-30T0:56:42 160.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1043 Bytes
Date: 2018-5-30T0:56:42 176.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1320 Bytes
Date: 2018-5-30T0:56:42 176.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1324 Bytes
Date: 2018-5-30T0:56:42 160.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1109 Bytes
Date: 2018-5-30T0:56:43 176.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1315 Bytes
Date: 2018-5-30T0:56:43 176.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1317 Bytes
Date: 2018-5-30T0:56:43 160.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1098 Bytes
Date: 2018-5-30T0:56:43 160.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 983 Bytes
Date: 2018-5-30T0:56:43 160.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 6340 Bytes
Date: 2018-5-30T0:56:43 160.109.151.1 "GET www.hanyang.ac.kr HTTP/1.1" 200 1652 Bytes
